grid_point,index,value,sampled_n
gp_226,N1,2.094584969677734,40
gp_226,N2,1.4823744559292433,40
gp_226,E10,0.37650297278319905,40
gp_226,E20,0.2725498789880275,40
gp_227,N0,3.712,40
gp_227,N1,2.5592779580846687,40
gp_227,N2,2.109941380316248,40
gp_227,E10,0.6965413452203827,40
gp_227,E20,0.5761247240026621,40
gp_228,N0,3.915,40
gp_228,N1,2.456653516980065,40
gp_228,N2,1.9290424377819615,40
gp_228,E10,0.6292384932270422,40
gp_228,E20,0.4948281732039588,40
gp_229,N0,4.365,40
gp_229,N1,2.81710442245669,40
gp_229,N2,2.445425345898592,40
gp_229,E10,0.6589699833527617,40
gp_229,E20,0.577100429725715,40
gp_23,N0,14.174,40
gp_23,N1,10.651668619132662,40
gp_23,N2,8.604279972112508,40
gp_23,E10,0.7536349984177929,40
gp_23,E20,0.6104356072782617,40
gp_230,N0,8.121,40
gp_230,N1,6.204107149448136,40
gp_230,N2,5.328240962734116,40
gp_230,E10,0.7686413344885747,40
gp_230,E20,0.662502246332634,40
gp_231,N0,11.312,40
gp_231,N1,7.641521370156893,40
gp_231,N2,5.788614554602077,40
gp_231,E10,0.6764459879997461,40
gp_231,E20,0.5142124240152365,40
gp_232,N0,10.329,40
gp_232,N1,7.317061831755191,40
gp_232,N2,5.832523414393457,40
gp_232,E10,0.711036095282764,40
gp_232,E20,0.5692105039948159,40
gp_233,N0,9.572,40
gp_233,N1,7.645897503985594,40
gp_233,N2,6.525380207636123,40
gp_233,E10,0.8004164938881888,40
gp_233,E20,0.6846634347398974,40
gp_234,N0,9.002,40
gp_234,N1,5.547106405868354,40
gp_234,N2,4.222565376063565,40
gp_234,E10,0.6219980911341555,40
gp_234,E20,0.4770286691062203,40
gp_235,N0,16.93,40
gp_235,N1,11.01864637079666,40
gp_235,N2,7.833151624529355,40
gp_235,E10,0.6523176677601147,40
gp_235,E20,0.4654412487009252,40
gp_236,N0,14.443,40
gp_236,N1,10.640736842548826,40
gp_236,N2,8.231404806845006,40
gp_236,E10,0.7365910581286599,40
gp_236,E20,0.5710008492339517,40
gp_237,N0,16.429,40
gp_237,N1,11.919162668493716,40
gp_237,N2,9.393541843048949,40
gp_237,E10,0.7279711121336423,40
gp_237,E20,0.5758545123334025,40
gp_238,N0,11.963,40
gp_238,N1,8.65589255643394,40
gp_238,N2,6.767456606805641,40
gp_238,E10,0.7260631362042643,40
gp_238,E20,0.5694364191292476,40
gp_239,N0,15.84,40
gp_239,N1,8.960539119995309,40
gp_239,N2,5.5346867066486425,40
gp_239,E10,0.5656938694028197,40
gp_239,E20,0.3510772650835222,40
gp_24,N0,12.939,40
gp_24,N1,8.483768216861023,40
gp_24,N2,6.454783131760911,40
gp_24,E10,0.6574575330419279,40
gp_24,E20,0.502176052636028,40
